GROUP_NAME,N,AVG_PROB,POSITIVE_SHARE
1-10,3211693,0.2842898061839002,0.272191
11-50,2182849,0.23655522418672786,0.226144
201-500,1653661,0.2197123008475869,0.209868
501-1000,1350024,0.21811896417429816,0.208435
51-200,2324458,0.21735904856528826,0.207503
1001-5000,3047404,0.2141609102785801,0.204496
5001-10000,1331539,0.20554606666779418,0.195897
10001+,6024617,0.1774994167471021,0.168369
