OCCUPATION,COMPANY_TYPE,N,POSITIVE_SHARE
first-line supervisors of production and operating workers,public,3636,0.106986
"life sciences teachers, postsecondary",educational,8975,0.280446
licensed practical and licensed vocational nurses,private,2254,0.354925
clinical laboratory technologists and technicians,public,2621,0.248760
counselors,government,3740,0.500000
database and network administrators and architects,educational,4502,0.129276
teaching assistants,private,15511,0.356263
medical and health services managers,nonprofit,19693,0.449906
astronomers and physicists,public,3231,0.094398
medical records specialists,nonprofit,2429,0.161383
miscellaneous community and social service specialists,nonprofit,5976,0.493307
miscellaneous sales and related workers,private,5629,0.353704
general and operations managers,educational,4299,0.271226
miscellaneous production workers,private,2308,0.098787
customer service representatives,government,2877,0.210636
locomotive engineers and operators,private,2670,0.133333
legislators,private,2777,0.275477
marketing and sales managers,nonprofit,22415,0.272228
first-line supervisors of production and operating workers,private,14917,0.101964
elementary and middle school teachers,educational,11612,0.445574
advertising and promotions managers,public_subsidiary,5758,0.127822
"tax examiners, collectors and preparers, and revenue agents",private,15708,0.116437
personal service managers,private,4148,0.422854
insurance sales agents,private,22808,0.279463
"models, demonstrators, and product promoters",private,8118,0.190934
aircraft pilots and flight engineers,private,5649,0.150115
miscellaneous managers,government,6190,0.233603
"pipelayers, plumbers, pipefitters, and steamfitters",private,2536,0.076893
lawyers and judicial law clerks,nonprofit,7117,0.361388
accountants and auditors,educational,2184,0.114927
bill and account collectors,private,9094,0.102925
recreation and fitness workers,nonprofit,2368,0.440034
compliance officers,public,5779,0.115764
natural sciences managers,public,7730,0.157568
"engineering technologists and technicians, except drafters",government,8440,0.236019
computer and information analysts,government,6701,0.126996
"miscellaneous electrical and electronic equipment mechanics, installers, and repairers",private,3457,0.076945
tutors,educational,2697,0.327030
data entry and information processing workers,private,2216,0.133123
occupational therapy assistants and aides,private,2084,0.521113
miscellaneous managers,public,37890,0.162022
health practitioner support technologists and technicians,private,21141,0.355565
market research analysts and marketing specialists,private,48489,0.150261
database and network administrators and architects,private,47380,0.086281
designers,private,37222,0.137258
computer hardware engineers,private,4993,0.114160
accountants and auditors,private,85346,0.082628
accountants and auditors,public_subsidiary,4603,0.065392
computer support specialists,public_subsidiary,4806,0.096130
physicians,nonprofit,16179,0.382347
miscellaneous motor vehicle operators,public,3232,0.137067
"math and computer science teachers, postsecondary",private,8055,0.309994
first-line supervisors of office and administrative support workers,private,24773,0.179026
general and operations managers,public,61480,0.150634
diagnostic related technologists and technicians,private,6001,0.301616
counselors,private,37677,0.492024
human resources managers,public,20985,0.231689
