GROUP_NAME,N,AVG_PROB,POSITIVE_SHARE
Le Cordon Bleu Institute of Culinary Arts-Dallas,8744,0.18098336116091018,0.170703
Pasadena City College,23652,0.22738184649950152,0.218100
Grumman Data Systems Institute,1102,0.10559674427718509,0.094126
Benjamin Franklin Institute of Technology,1197,0.1515875311934794,0.139724
Cio University,594,0.171179781814256,0.161742
Ncp College of Nursing,1721,0.29644745104089254,0.288471
Maricopa Community College System Office,2406,0.26233706103149895,0.250351
The Art Institute of Indianapolis,1113,0.17535097010899445,0.169067
Eastern Oregon University,5334,0.28847940746164513,0.277875
Helene Fuld College of Nursing,1936,0.4735779722162732,0.462001
Oak Valley College,8513,0.22539854591295047,0.216432
Covenant Theological Seminary,5548,0.3531991703046856,0.339620
Asbury Theological Seminary,3421,0.4917842812624094,0.478502
Unitek College,2526,0.39531178206734224,0.385809
Ursuline College,6694,0.3189882634578345,0.308051
Officer Candidate School,4663,0.2240035888716734,0.208909
Woz U,841,0.17159646000179427,0.159292
American Institute of Baking,657,0.11482946106499692,0.098204
University of California-San Francisco,16372,0.4102789752154081,0.398048
Millennium Training Institute,1678,0.19820028844029242,0.189215
American Training Center,971,0.18354041946087407,0.171479
Memphis Theological Seminary,704,0.4307581578319803,0.417364
"Strayer University-Georgia-Atlanta, Ga",1194,0.21124572933732277,0.201068
Knox County Career Center,723,0.2182620606264428,0.211944
Pratt Institute-Main,23393,0.1938079518668895,0.183157
Rutgers University-Camden,15550,0.23927288816395584,0.228013
Texas School of Massage,539,0.34869486199142796,0.338684
Waynesburg University,4462,0.23857668784291333,0.228988
University of Mary Washington,13266,0.26008865666281755,0.248797
Butler Community College,6801,0.22424671389296263,0.213824
Capitol Technology University,3728,0.15857357105799694,0.146607
New School of Radio and Television,615,0.15851927202658472,0.146900
Professional Fitness Institute,935,0.4267706503506636,0.407672
Trinity Business College,927,0.20608834139279908,0.196891
Georgia Military College-Warner Robins Campus,656,0.20327047494148234,0.195122
Alhambra Medical University,3244,0.228972027165227,0.215668
Oakland Community College,25833,0.19334484795064275,0.184233
United States Air Force Academy,21501,0.19861868195637974,0.187142
Wilson Tech,2986,0.19849535665272028,0.188725
Southwest Wisconsin Technical College,2369,0.23026079067748642,0.219363
Nichols College,7822,0.1863787913664607,0.177193
Salem Community College,1431,0.20873309309045282,0.200111
Union Adventist University,2107,0.2740448845780271,0.260125
University of Phoenix-Utah,781,0.25069921957600283,0.239168
The School of Architecture,1743,0.2177907877391019,0.205128
Martin University,1348,0.3144422184832343,0.304584
Princess Marina College,1390,0.20681120528573418,0.193971
Northampton County Area Community College,11249,0.20971415181310465,0.198787
Washburn Institute of Technology,1612,0.22950511798666134,0.220580
Berdan Institute,825,0.28684527077004285,0.279678
Eastern Wyoming College,662,0.28352466325887493,0.274725
Nevada State University,1258,0.3412916040271677,0.332095
Western Theological Seminary,856,0.4666346599365956,0.450000
University of North Texas Health Science Center,4528,0.4433736852626145,0.430465
SUNY-System Office,17256,0.19721689501191594,0.186037
Pennsylvania College of Technology,1820,0.17106162770774477,0.160144
International School of Ministry,3222,0.407415346273412,0.392133
Defense Security Service Academy,2617,0.16660918751758755,0.155196
Eastern New Mexico University-Roswell Campus,1238,0.20361274276853555,0.193346
Trevecca Nazarene University,8163,0.3319020034457803,0.319944
Travel School of America,717,0.1877931107477893,0.182898
Lubbock Christian University,3568,0.30168035326734743,0.289564
Tulane University of Louisiana,53360,0.2838296167254246,0.272321
Franklin Pierce University,9161,0.228747142122299,0.217902
Providence Christian College,1938,0.2445878993630103,0.233986
Bay Area Medical Academy,675,0.4388607955108343,0.429306
City Colleges of Chicago-Olive-Harvey College,2120,0.28170804552003786,0.273578
Provo College,1543,0.2641703678363604,0.250934
Rockford University,4898,0.2492430648980923,0.237402
Act College,860,0.22049780337792418,0.211577
Actualize Coding Bootcamp,682,0.24515775783495394,0.240148
Saber College,663,0.25451822860376677,0.240885
Careers Unlimited,2396,0.26863887359635363,0.260413
Lewis&Clark College,12759,0.3629306175001887,0.349376
CUNY Queens College,45032,0.23715922376449677,0.226699
New York Institute of Finance,4972,0.14728043541714142,0.137376
D'youville College,3144,0.38166317846979914,0.372288
Franklin College,8145,0.2500618356972086,0.238781
John Amico School of Hair Design,616,0.23284537216747517,0.219794
Warner Pacific University,2763,0.36350113397430184,0.351357
Houghton College,3052,0.3162632213118171,0.305630
Southern Illinois University Edwardsville,29689,0.23545741553025892,0.225697
The Open Center,2206,0.3858527642032906,0.373656
Texas Southern University,18709,0.2862703971142169,0.276453
University of North Carolina at Chapel Hill,124427,0.3008505759414628,0.289165
Western Colorado University,8873,0.26432521115648067,0.251656
Minnesota Resource Center,609,0.37642493222282203,0.363271
Armed Forces Staff College,911,0.19479178065839692,0.179909
SUNY College of Environmental Science and Forestry,7696,0.27664164614598885,0.263125
Central Virginia Community College,3389,0.22080492830636267,0.208830
Mills College,7839,0.39862715028392604,0.385502
College of The Redwoods,5218,0.2782552105540116,0.268227
Arkansas State University Three Rivers,766,0.21629215669435878,0.204334
Central Arizona College,3579,0.24337227809065845,0.231768
Mediation Training Institute,1566,0.42346341654132097,0.403321
Great Basin College,1621,0.24059582353714445,0.231209
Studio Beauty School,1067,0.2676288039037956,0.257764
Catholic Theological Union at Chicago,1068,0.3620990653162414,0.346983
Owensboro Community and Technical College,1821,0.19524000817959397,0.185474
Bellingham Technical College,2283,0.23808057312946268,0.226858
Houghton University,1980,0.30285586092932054,0.291920
"Southwestern College-Chula Vista, Ca",801,0.24679395216558167,0.234341
Stevens-The Institute of Business&Arts,1175,0.19816643931544076,0.191595
Veritas Baptist College,970,0.2880665777393936,0.277778
Usaf Air Command and Staff College,7808,0.21117534937955892,0.195532
Lean Six Sigma Institute,2925,0.20223596328360166,0.187738
West Chester University of Pennsylvania,40083,0.26393335620807234,0.254034
Institute of Fire Engineers,1085,0.13395990743463035,0.124133
Independent Electrical Contractors-Denver,2615,0.1105620711193673,0.103892
The College of Saint Rose,10278,0.3205902507567474,0.310078
Naval School of Health Sciences,2388,0.26417796840319363,0.252398
Orangeburg Calhoun Technical College,1922,0.21022586388295184,0.198252
Midway University,2175,0.2513154863945679,0.242463
University of Michigan-Dearborn,21790,0.18217714521174083,0.173094
San Joaquin Valley College,1243,0.27756299673342555,0.267241
Disney Institute,1212,0.2845446231948044,0.270833
Knowledge Academy,724,0.18435496487145597,0.166282
North Idaho College,5301,0.2575088092167129,0.245478
Dickinson College,10154,0.2670200049609372,0.255514
Texas Aero Tech,636,0.12581347171485244,0.116580
Vermont State University,553,0.37138661312052335,0.362205
Skidmore College,11237,0.2814281802904474,0.269149
Dallas Baptist University,13945,0.2746537395896806,0.263430
Heart of Herbs Herbal School,650,0.5342453116852065,0.516927
University of Central Arkansas,17166,0.27468442696906187,0.263304
Manchester Community College,9512,0.20675223537327772,0.197253
Federal Executive Institute,1513,0.278359935268339,0.256713
Westcliff University,4425,0.1963037228063172,0.186543
Abington Memorial Hospital Dixon School of Nursing,997,0.3265195193232339,0.313356
The Baptist College of Florida,696,0.3150681461931491,0.300108
Star Career Academy-Philadelphia,1402,0.22775369465617912,0.215733
University of Phoenix,402442,0.22979424446303337,0.218375
Colorado School of Healing Arts,1191,0.36945079860621516,0.356831
Los Angeles Recording School,2098,0.14426017066952623,0.136068
Health Coach Institute,2816,0.6807995416543817,0.664669
Randolph College,4022,0.2873379848390201,0.272932
Lusher Charter School,545,0.3129885848153161,0.295820
Mid-Manhattan Adult Learning Center,595,0.2165600813934624,0.209809
Dharma Realm Buddhist University,754,0.35014134267407254,0.339408
University of Phoenix-Phoenix-Hohokam Campus,544,0.24930429187555955,0.231760
Devry University-Ohio,2873,0.12981881191302166,0.121591
State of Florida,546,0.26525718586181674,0.251932
Allison Academy,4666,0.2640123074840042,0.251224
St Catherine University,13213,0.38763507221062926,0.374523
Oregon Institute of Technology,8172,0.20862421019311295,0.199418
Manchester University,4143,0.25771362336598796,0.246658
Lake Technical College,1813,0.20723488103497276,0.197632
Defense Institute of Security Cooperation Studies,528,0.20214199340093164,0.184641
5linx University,859,0.420191731019722,0.402724
Academy of Our Lady of Peace,3182,0.26834072977190576,0.256742
Assurance Institute,605,0.15782763468823993,0.146724
Center For Allied Health Education,1266,0.44979958688688115,0.434753
Connecticut School of Broadcasting,4240,0.16506482929336289,0.156690
Morris College,2078,0.2438702779166166,0.232736
The Graduate Institute,2892,0.34500159797369206,0.331642
Southwestern Christian University,652,0.31830310031375103,0.306952
The College of Saint Thomas More,863,0.21418636795888632,0.204476
University of Health Sciences and Pharmacy in St. Louis,1795,0.4550595655084457,0.441960
Pennsylvania State University-Penn State Great Valley,4656,0.1682513877976277,0.160498
Eine Inc,653,0.22397581253255305,0.201560
Criminal Justice Institute,1478,0.2946042618480235,0.281682
Georgia Institute of Technology-Main Campus,127655,0.16341811983341425,0.154449
National Academy of Certified Care Managers,955,0.4365829570682807,0.423875
The University of Texas Medical Branch at Galveston,6331,0.4345783699406473,0.422509
Lincoln Technical Institute,4303,0.15484241868630788,0.145222
Artist Makeup Academy,540,0.23300559179452457,0.220395
Griffin Technical College,1032,0.18831398623861326,0.173523
Darlington School,11347,0.21007843199582282,0.199344
Pci Academy,538,0.19478566820248633,0.183121
Bryant&Stratton College-Wauwatosa,1592,0.2573261085462164,0.247875
Professional Technical Institution,1593,0.13745576824070438,0.130250
Martin Luther College,3992,0.2668769491536774,0.258807
Central California School of Continuing Education,7695,0.27084228176222036,0.259263
Horry-Georgetown Technical College,4429,0.22683523566766423,0.219087
Luma Institute,642,0.35906974749917864,0.346103
John Carroll University,18106,0.23344719936709799,0.222629
Mid-Atlantic Maritime Academy,3048,0.16629655329824142,0.152591
Fidm-Fashion Institute of Design&Merchandising-San Francisco,1254,0.17041035841447832,0.158793
Distance Learning College,632,0.2607661596367439,0.253485
Pinnacle College,1336,0.2159353934369433,0.206897
Kilgore College,6155,0.2033383393605634,0.193088
Northwest State Community College,2533,0.2051754609535113,0.197417
Mountwest Community and Technical College,1315,0.21957136933532645,0.213404
University of Virginia's College at Wise,2215,0.2637962578984242,0.251723
Spokane Community College,12988,0.24987579576714902,0.239039
Ozark Christian College,1365,0.3764227754881632,0.363341
Tacoma Community College,8621,0.2866932927597103,0.275994
University of Pittsburgh,92704,0.2635240440595087,0.253118
Center For Psychological Studies,1108,0.4113575840574047,0.393189
University of North Carolina at Greensboro,45420,0.2952631388408491,0.284964
Institute of Chemical Dependency Studies,506,0.4523918459910265,0.435940
Manhattan Christian College,793,0.3421341366884113,0.332690
College of Coastal Georgia,3308,0.2510700488176704,0.241805
Washington&Jefferson College,4550,0.2213333473289508,0.209387
Center For Nonprofit Management,1077,0.5046141220775807,0.484139
Integrative and Functional Nutrition Academy,1064,0.7128083127040467,0.695920
Center For Surface Combat Systems,641,0.1719088195132542,0.159221
Inver Hills Community College,7539,0.23642817405285532,0.225877
Kimball University,1605,0.18107965967155987,0.171601
Quinnipiac University,24860,0.23649973273719316,0.226919
University of San Francisco,56020,0.3034764468619096,0.292189
The Lee Strasberg Theatre&Film Institute,1709,0.2575913747454043,0.244370
Sumner College,1563,0.2866840152075125,0.275379
Prince George's Community College,13592,0.21563985600014401,0.205741
Virtual College,1018,0.2529392007670763,0.240424
Trend Setters School,546,0.17027257784446195,0.162444
Career and Technology Education Centers of Licking County,521,0.18302629891023092,0.182677
Michigan Manufacturing Technology Center,594,0.17087438333233776,0.160274
De Anza College,31305,0.21744804299098455,0.207866
Reo Institute of Colorado,5878,0.17584058776340863,0.165983
Acadiana Technical College-Lafayette Campus,906,0.13459777755710808,0.125641
Ideal School and College,4917,0.1733708527712957,0.163583
Point Loma Nazarene University,11406,0.36998744901355685,0.357821
River Valley Community College,2009,0.2842681183851133,0.275669
Golden Gate University,22121,0.20249910330048418,0.191176
Scott Community College,2561,0.22027340204470203,0.205855
Devmountain,3002,0.1719850743281046,0.163922
Southeast Arkansas College,625,0.240023269267399,0.233890
Agora Cyber Charter School,1303,0.26701829531553267,0.259577
Missouri State University,43902,0.2418704182836165,0.231879
Central Ohio Technical College,3045,0.24597225391283337,0.236743
The Story Skills Workshop,645,0.34581902263369246,0.331620
Western School of Technology,991,0.20166480122596195,0.191050
Fort Scott Community College,1929,0.21592588067216195,0.206363
Johnson&Wales University-Charlotte,1279,0.1840099884915423,0.177278
Kennesaw State University,70396,0.21453654824069485,0.204865
Douglas Community School,5296,0.2368683832986865,0.227387
Kettering University,15682,0.12281648841946222,0.113973
Wentworth Military Academy and College,1947,0.19130705770878897,0.177937
National Theater Institute,884,0.33500831082633303,0.325459
Advanced Training Institute,571,0.2112170118497375,0.202663
Galileo Academy of Science and Technology,2153,0.25526910803604647,0.248677
Oakland City University,2464,0.2579514341500214,0.246965
Illinois College,3701,0.303464354845488,0.293286
University of Hawaii at Hilo,4769,0.304447704778673,0.292405
Florence Virtual Academy,561,0.24705493376688392,0.236842
Madison Media Institute,1037,0.14389332052263923,0.137996
California State University-Long Beach,98731,0.24920984912434568,0.239089
The University of Texas Permian Basin,8535,0.2226240905147965,0.212525
Pontifex University,1318,0.28574697960860324,0.273999
University of Richmond,25885,0.22535920817358454,0.214493
Joe Kubert School of Cartoon and Graphic Art,812,0.11572144117093026,0.111210
Energy Institute,2963,0.25079340617799545,0.235841
University of Bridgeport,17366,0.2521779913027132,0.242155
Nada Dealer Academy,1165,0.17614099412993445,0.169355
Sacred Heart Cathedral Preparatory,10107,0.22740585784316047,0.216661
Wilson University,1797,0.21717692214482046,0.208292
Cem College,3851,0.1750537537399084,0.160392
Louisiana State University Health Sciences Center,2976,0.40271821604941765,0.390225
Briar Cliff University,2395,0.2465438861699211,0.231601
Cannes Lions School,545,0.2309606053348971,0.218182
Easton College,875,0.19351422865886136,0.182806
The Grace Hopper Program at Fullstack Academy,516,0.2854751647947397,0.273179
William Peace University,3390,0.2867457123862467,0.276104
Nueta Hidatsa Sahnish College,1480,0.21536493279061747,0.202917
Lawrence Technological University,14311,0.13147679294556466,0.123399
Construction Training Center,1942,0.15615140134236496,0.145321
Rasmussen University-Florida,775,0.28936254342310086,0.278269
Garrett College,3508,0.2093490566975814,0.199648
Reformed Presbyterian Theological Seminary,2170,0.42543297733041535,0.409651
Saint Ambrose University,8085,0.2520684322429851,0.240559
Skin Institute,613,0.34282914272690246,0.325967
Rutledge College,513,0.20489629577167323,0.200617
Ocean County Vocational-Technical School,3536,0.2086487186165512,0.197961
Biopharma Institute,2112,0.22419151655095715,0.211470
Devry University-California,4739,0.149722053201215,0.141303
Federal Government College,6750,0.2307612674227372,0.219576
Academia Medical Institute,1472,0.163065989804004,0.152522
Medaille University,1831,0.24242763465407305,0.232476
American School of Mortgage Banking,636,0.17257852461266968,0.163001
Inter American University of Puerto Rico-Metro,3174,0.22899117882902864,0.218333
University of Fort Lauderdale,6403,0.14519642907223904,0.136374
Austin College,6005,0.26941008532412214,0.257934
Berkshire Community College,2893,0.23837432853091284,0.228517
Access Careers,2121,0.17772205132443042,0.170978
Calvin University,12278,0.3114789996389726,0.299546
Mount Marty University,1869,0.27002532127361795,0.258355
Yorktowne Business Institute,790,0.15155599579867263,0.142587
