selectivity_label,institutions,N,AVG_PROB,POSITIVE_SHARE,COLLEGE_WEIGHTED_SHARE
Elite (<10%),28,2269459,0.2725873305579167,0.260745808125637,0.2664073571428571
Less Selective (>75% or open),1648,18218215,0.2579049697148119,0.24709872408839176,0.2679416474514563
Selective (25-50%),120,3654462,0.2515057399272945,0.24067133452721634,0.2580141083333333
Highly Selective (10-25%),56,2738259,0.25103686821117566,0.23989157864212257,0.2524256785714286
Moderately Selective (50-75%),417,7124411,0.24226603801354588,0.23172215586551645,0.24789369544364506
