college_control,institutions,N,AVG_PROB,POSITIVE_SHARE,COLLEGE_WEIGHTED_SHARE
Private for-profit,177,1051500,0.26982814818701234,0.2582028345354256,0.23697505084745765
Private nonprofit,1302,13681113,0.26643671708861544,0.2551183347679388,0.2810814285714286
Public,790,19272193,0.24495623232934205,0.23447979961268547,0.2399795430379747
