comparison,occupations,positive_occupations,median_gap_pp,weighted_gap_pp,p10_gap_pp,p90_gap_pp
nonprofit minus private,76,64,5.651049999999999,10.328670951482739,-0.8626000000000023,19.307499999999997
educational minus private,44,31,3.465350000000001,3.6479835662681777,-3.9572000000000025,12.678790000000005
government minus private,50,43,4.7193000000000005,4.192888067950654,-1.5999500000000002,10.478030000000004
private minus public,95,75,1.5440999999999996,2.3160026604499064,-1.0969200000000003,7.795360000000007
small_1_50 minus large_5001_plus,122,107,2.799199999999999,3.8354235708695796,-0.34037999999999935,8.416360000000003
born_1980_1999 minus born_1950_1969,43,42,4.3466000000000005,4.737251310445777,2.0372,8.185880000000004
